fecha,codigo_art,dias_reaprovisionamiento,ingreso,egreso
2022-12-28,09-10016A,90,0,16
2023-01-04,09-10016A,90,12,0
2023-01-10,09-10016A,90,0,12
2023-12-01,09-10016A,90,0,0
2024-10-17,09-10016A,90,500,500
2019-08-29,09-10016N,90,808,0
2019-09-02,09-10016N,90,0,808
2021-01-20,09-10016N,90,36,0
2021-02-08,09-10016N,90,28,0
2021-02-18,09-10016N,90,4,28
2021-02-19,09-10016N,90,4,8
2021-02-26,09-10016N,90,640,0
2021-03-04,09-10016N,90,4,0
2021-03-10,09-10016N,90,600,0
2021-03-16,09-10016N,90,0,248
2021-03-18,09-10016N,90,84,180
2021-03-23,09-10016N,90,0,56
2021-03-24,09-10016N,90,0,320
2021-03-25,09-10016N,90,32,40
2021-03-26,09-10016N,90,0,32
2021-03-30,09-10016N,90,64,244
2021-03-31,09-10016N,90,124,284
2021-04-01,09-10016N,90,4,4
2021-04-08,09-10016N,90,540,0
2021-04-13,09-10016N,90,0,10
2021-04-16,09-10016N,90,0,24
2021-04-19,09-10016N,90,0,20
2021-04-20,09-10016N,90,20,40
2021-04-21,09-10016N,90,0,64
2021-04-22,09-10016N,90,40,80
2021-04-23,09-10016N,90,40,52
2021-04-26,09-10016N,90,0,152
2021-04-27,09-10016N,90,0,8
2021-04-28,09-10016N,90,132,172
2021-04-29,09-10016N,90,64,161
2021-04-30,09-10016N,90,20,88
2021-05-05,09-10016N,90,0,48
2021-05-13,09-10016N,90,116,140
2021-05-18,09-10016N,90,48,96
2021-05-28,09-10016N,90,40,40
2021-05-31,09-10016N,90,9,45
2021-06-04,09-10016N,90,120,0
2021-06-09,09-10016N,90,28,56
2021-06-10,09-10016N,90,0,8
2021-06-11,09-10016N,90,80,24
2021-06-14,09-10016N,90,20,40
2021-06-15,09-10016N,90,360,0
2021-06-16,09-10016N,90,8,16
2021-06-18,09-10016N,90,0,36
2021-06-22,09-10016N,90,8,104
2021-06-24,09-10016N,90,0,12
2021-06-28,09-10016N,90,32,64
2021-06-29,09-10016N,90,0,84
2021-06-30,09-10016N,90,24,116
2021-07-07,09-10016N,90,2,2
2021-07-12,09-10016N,90,12,12
2021-07-14,09-10016N,90,0,8
2021-07-19,09-10016N,90,0,28
2021-07-27,09-10016N,90,16,0
2021-07-29,09-10016N,90,16,0
2021-07-30,09-10016N,90,0,16
2021-08-13,09-10016N,90,360,0
2021-08-17,09-10016N,90,96,0
2021-08-25,09-10016N,90,8,8
2021-08-26,09-10016N,90,0,8
2021-08-27,09-10016N,90,0,360
2021-08-30,09-10016N,90,12,24
2021-08-31,09-10016N,90,416,0
2021-09-06,09-10016N,90,0,148
2021-09-09,09-10016N,90,60,180
2021-09-17,09-10016N,90,4,292
2021-09-23,09-10016N,90,0,4
2021-09-24,09-10016N,90,0,8
2021-09-29,09-10016N,90,48,64
2021-09-30,09-10016N,90,0,36
2021-10-01,09-10016N,90,19,0
2021-10-06,09-10016N,90,141,96
2021-10-07,09-10016N,90,4,45
2021-10-12,09-10016N,90,120,0
2021-10-15,09-10016N,90,80,0
2021-10-18,09-10016N,90,0,12
2021-10-19,09-10016N,90,80,80
2021-10-21,09-10016N,90,76,76
2021-10-25,09-10016N,90,0,4
2021-10-26,09-10016N,90,0,52
2021-10-27,09-10016N,90,4,20
2021-10-28,09-10016N,90,0,40
2021-11-03,09-10016N,90,0,80
2021-11-15,09-10016N,90,588,0
2021-11-18,09-10016N,90,752,0
2021-11-23,09-10016N,90,0,0
2021-11-24,09-10016N,90,20,104
2021-11-25,09-10016N,90,396,944
2021-11-30,09-10016N,90,116,348
2021-12-06,09-10016N,90,364,0
2021-12-10,09-10016N,90,244,488
2021-12-13,09-10016N,90,0,236
2021-12-14,09-10016N,90,64,88
2021-12-15,09-10016N,90,100,108
2021-12-16,09-10016N,90,420,0
2021-12-20,09-10016N,90,0,296
2021-12-22,09-10016N,90,0,36
2021-12-23,09-10016N,90,0,2
2022-01-10,09-10016N,90,28,92
2022-01-12,09-10016N,90,464,0
2022-01-20,09-10016N,90,16,36
2022-01-25,09-10016N,90,0,68
2022-01-28,09-10016N,90,44,144
2022-01-29,09-10016N,90,800,0
2022-01-31,09-10016N,90,188,568
2022-02-01,09-10016N,90,228,228
2022-02-03,09-10016N,90,4,0
2022-02-07,09-10016N,90,92,92
2022-02-14,09-10016N,90,1010,996
2022-02-15,09-10016N,90,492,0
2022-02-18,09-10016N,90,0,148
2022-02-20,09-10016N,90,0,24
2022-02-23,09-10016N,90,8,44
2022-02-24,09-10016N,90,20,48
2022-02-25,09-10016N,90,232,900
2022-03-03,09-10016N,90,364,4
2022-03-07,09-10016N,90,40,0
2022-03-08,09-10016N,90,12,36
2022-03-10,09-10016N,90,0,4
2022-03-14,09-10016N,90,196,392
2022-03-18,09-10016N,90,0,40
2022-03-22,09-10016N,90,64,4
2022-03-23,09-10016N,90,12,40
2022-03-25,09-10016N,90,4,48
2022-03-28,09-10016N,90,196,396
2022-03-29,09-10016N,90,8,200
2022-03-30,09-10016N,90,0,4
2022-03-31,09-10016N,90,108,240
2022-04-04,09-10016N,90,4,4
2022-04-05,09-10016N,90,80,0
2022-04-08,09-10016N,90,876,296
2022-04-11,09-10016N,90,8,12
2022-04-12,09-10016N,90,240,0
2022-04-18,09-10016N,90,0,12
2022-04-21,09-10016N,90,0,80
2022-04-22,09-10016N,90,64,152
2022-04-25,09-10016N,90,180,612
2022-04-26,09-10016N,90,212,28
2022-04-28,09-10016N,90,52,144
2022-04-29,09-10016N,90,120,280
2022-05-09,09-10016N,90,0,64
2022-05-10,09-10016N,90,0,4
2022-05-14,09-10016N,90,720,0
2022-05-17,09-10016N,90,236,652
2022-05-19,09-10016N,90,12,12
2022-05-20,09-10016N,90,0,88
2022-05-23,09-10016N,90,60,192
2022-05-27,09-10016N,90,196,636
2022-05-30,09-10016N,90,0,8
2022-05-31,09-10016N,90,48,80
2022-07-01,09-10016N,90,720,0
2022-07-11,09-10016N,90,0,68
2022-07-12,09-10016N,90,12,96
2022-07-13,09-10016N,90,12,12
2022-07-14,09-10016N,90,8,24
2022-07-15,09-10016N,90,500,0
2022-07-18,09-10016N,90,20,92
2022-07-19,09-10016N,90,64,188
2022-07-20,09-10016N,90,60,140
2022-07-21,09-10016N,90,0,88
2022-07-22,09-10016N,90,120,240
2022-07-26,09-10016N,90,4,4
2022-07-27,09-10016N,90,0,240
2022-07-29,09-10016N,90,0,60
2022-08-04,09-10016N,90,0,132
2022-08-05,09-10016N,90,132,252
2022-08-09,09-10016N,90,12,4
2022-08-10,09-10016N,90,0,4
2022-08-11,09-10016N,90,580,4
2022-08-16,09-10016N,90,0,8
2022-08-17,09-10016N,90,20,20
